File,Year,Workplace,Position,FullName,TotalIncome,Income1,Income2,Income3,Income4,Income5,Outcome1,Outcome2,RealEstateType1,RealEstateArea1,RealEstateType2,RealEstateArea2,RealEstateType3,RealEstateArea3,RealEstateType4,RealEstateArea4,RealEstateType5,RealEstateArea5,RealEstateType6,RealEstateArea6,RealEstateType7,RealEstateArea7,RealEstateType8,RealEstateArea8,RealEstateType9,RealEstateArea9,RealEstateType10,RealEstateArea10,RealEstateType11,RealEstateArea11,RealEstateType12,RealEstateArea12,RealEstateType13,RealEstateArea13,RealEstateType14,RealEstateArea14,RealEstateType15,RealEstateArea15,RealEstateType16,RealEstateArea16,RealEstateType17,RealEstateArea17,RealEstateType18,RealEstateArea18,RealEstateType19,RealEstateArea19,RealEstateType20,RealEstateArea20,RealEstateType21,RealEstateArea21,RealEstateType22,RealEstateArea22,RealEstateType23,RealEstateArea23,RealEstateType24,RealEstateArea24,RealEstateType25,RealEstateArea25,RealEstateType26,RealEstateArea26,RealEstateType27,RealEstateArea27,RealEstateType28,RealEstateArea28,RealEstateType29,RealEstateArea29,RealEstateType30,RealEstateArea30,RealEstateType31,RealEstateArea31,PropertyType1,PropertyDescription1,PropertyType2,PropertyDescription2,PropertyType3,PropertyDescription3,PropertyType4,PropertyDescription4,PropertyType5,PropertyDescription5,RelativeIncome1,RelativeIncome2,RelativeIncome3,RelativeIncome4,RelativeIncome5,RelativeIncome6,RelativeOutcome1,RelativeOutcome2,RelativeOutcome3,RelativeOutcome4,RelativeRealEstateType1,RelativeRealEstateArea1,RelativeRealEstateType2,RelativeRealEstateArea2,RelativeRealEstateType3,RelativeRealEstateArea3,RelativeRealEstateType4,RelativeRealEstateArea4,RelativeRealEstateType5,RelativeRealEstateArea5,RelativeRealEstateType6,RelativeRealEstateArea6,RelativeRealEstateType7,RelativeRealEstateArea7,RelativeRealEstateType8,RelativeRealEstateArea8,RelativeRealEstateType9,RelativeRealEstateArea9,RelativeRealEstateType10,RelativeRealEstateArea10,RelativeRealEstateType11,RelativeRealEstateArea11,RelativeRealEstateType12,RelativeRealEstateArea12,RelativeRealEstateType13,RelativeRealEstateArea13,RelativeRealEstateType14,RelativeRealEstateArea14,RelativeRealEstateType15,RelativeRealEstateArea15,RelativeRealEstateType16,RelativeRealEstateArea16,RelativeRealEstateType17,RelativeRealEstateArea17,RelativeRealEstateType18,RelativeRealEstateArea18,RelativeRealEstateType19,RelativeRealEstateArea19,RelativeRealEstateType20,RelativeRealEstateArea20,RelativeRealEstateType21,RelativeRealEstateArea21,RelativeRealEstateType22,RelativeRealEstateArea22,RelativeRealEstateType23,RelativeRealEstateArea23,RelativeRealEstateType24,RelativeRealEstateArea24,RelativeRealEstateType25,RelativeRealEstateArea25,RelativeRealEstateType26,RelativeRealEstateArea26,RelativeRealEstateType27,RelativeRealEstateArea27,RelativeRealEstateType28,RelativeRealEstateArea28,RelativeRealEstateType29,RelativeRealEstateArea29,RelativeRealEstateType30,RelativeRealEstateArea30,RelativeRealEstateType31,RelativeRealEstateArea31,RelativeRealEstateType32,RelativeRealEstateArea32,RelativePropertyType1,RelativePropertyDescription1,RelativePropertyType2,RelativePropertyDescription2,RelativePropertyType3,RelativePropertyDescription3,RelativePropertyType4,RelativePropertyDescription4,RelativePropertyType5,RelativePropertyDescription5,RelativePropertyType6,RelativePropertyDescription6,RelativePropertyType7,RelativePropertyDescription7,RelativePropertyType8,RelativePropertyDescription8,RelativePropertyType9,RelativePropertyDescription9,RelativePropertyType10,RelativePropertyDescription10
files/2017082222460311.xlsx,2016,Государственная администрация Кара-Кульджинского района Ошской области,Руководитель аппарата,Тутуев Канболот Мусаевич,426534.0,282 148 с. -по месту основной работы,"","","","","","",квартира,"45,57",дом,10 сот,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",144 386 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201607072051461.xlsx,2015,Аппарат Президента КР,Президент КР,Атамбаев Алмазбек Шаршенович,9340146.0,1 298 448 сомов,"","","","",34 000 000 сом (из собственных накоплений),"",строение с земельным участком,"116,34 (строение);    27 000 (зем.участок)",многолетние насаждения (переданное в доверительное управление),64000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",182 588 сомов (по месту основной работы),7859110 (проценты от начисленных вкладов),"","","","","","","","",парковочное место,15.7,квартира,133.3,квартира,51.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016111420054213.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель начальника УГНС по Октябрскому району г.Бишкек,Кенешева Чолпон Турсуновна,423961.0,273486,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",150475,"","","","","","","","","",дом (25%),150,квартира (25%),58,нежилое помещение (25%),300,павильон (25%),30,"земля (к/х), (25%)","5,0 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Харрьер, 2003 г.в, V-3000",автомобиль,"Лексус RX-400, 2005 г.в, V-3311","","","","","","","","","","","","","","","",""
files/2017080421013814.xlsx,2016,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель председателя,Кумашов Кубанычбек Арстанбекович,1400453.0,380 453 с.-по месту основной работы,720 000 с.-от продажи автомобиля,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",300 000с.-от предпринимательской деятельности,"","","","","","","","","",земельный участок,500,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016092616593315.xlsx,2015,Аппарат Правительства Кыргызской Республики,Экс- эксперт,Пусурманова Айниса Ташматовна,330151.0,330151,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201709182203560.xlsx,2016,Аппарат Правительства КР,Вице-премьер-министр,Панкратов Олег Михайлович,1358110.45,"964 689,27 с.-по месту основной работы","","","","","","",дом,80,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Харриер, 2003 г.в., V=3","","","","","","","","","393 421,18 с.-по месту основной работы","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда, 2003 г.в., V=3","","","","","","","","","","","","","","","","","",""
files/2016111515494715.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Начальник УГНС по Кара-Бууринскому р-ну,Мураталиев Музур Джумагулович,551669.0,278 426,"","","","","","",земельный участок,4300,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",273 243,"","","","","","","","","",земельный участок,600,дом,295,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017091821474215.xlsx,2016,Аппарат Правительства КР,Эксперт,Азаматов Азиз Азаматович,62998.0,62 998 с.- по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",квартира,"10,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,,"","","","","","","","","","","","","","","","","",""
files/201609261737102.xlsx,2015,Аппарат Правительства Кыргызской Республики,Заместитель заведующего отдела,Эсеналиев Талантбек Канатбекович,2302059.0,760054,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Камри, 2004 г.в","","","","","","","","",1542005,"","","","","","","","","",дом,460,нежилое помещение,275,квартира,101,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608092018395.xlsx,2015,Чуйская районная государственная администрация,Экс- первый заместитель главы,Исагалиев Садык  Бейшекеевич,0.0,-,"","","","","","",земельная доля,"0,92 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201607072102228.xlsx,2015,Жогорку Кенеш Кыргызской Республики,депутат,Акаев Жанарбек Кубанычович,239370.0,239 370 сомов,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201611151551549.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель начальника УГНС по Бакай-Атинскому р-ну,Шадыканов Мурат Каналбекович,385525.0,237 525 - по месту основной работы,148 000 - доход от земледелия,"","","","","",дом,"52,6",дом,"47,82",земельный участок (доля),49 600,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда Аккорд, 2002г.вып., V=1850Б","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017082416153214.xlsx,2016,"Государственная администрация Чаткалского района Джалал-Абадской области               
             
",Руководитель аппарата,Керимбеков Козубай Култайевич,537426.0,524 826 с.-по месту основной работы,"","","","","","",дом,"70,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль,"Мицубиси Монтеро, 1997г., V=3000 см³","","","","","","","","",12 600 с.-по месту основной работы,"","","","","","","","","",дом,"90,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016081923513611.xlsx,2015,Баткенский областной суд,Судья,Аданбаев Зарипбек Максутович,786358.0,786358,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201607191819374.xlsx,2015,Государственная служба финансовой разведки при Правительстве Кыргызской Республики,Председатель,Мамбетжанов Мэлис Тулиндыевич,3725213.0,427196,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3298017,"","","","","","","","","",квартира,234,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Лексус GX 470,"","","","","","","","","","","","","","","","","",""
files/201607192047573.xlsx,2015,Министерство энергетики и промышленности,статс-секретарь,Баетов Батыркул Исаевич,1104330.0,705 199,"","","","","","",дом,"219,6",дом,"46,8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",399 131,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль,-,"","","","","","","","","","","","","","","","","",""
files/201607182232574.xlsx,2015,Министерство чрезвычайных ситуаций Кыргызской Республики,Директор департамента по ПЛПЧС,Закиров Асылбек Абдилбаапович,208480.0,208 480 сом,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",квартира,73.7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016111422191315.xlsx,2015,Государственная таможенная служба при Правительстве Кыргызской Республики,"Начальник Оперативной таможни ""Юг""",Мурзалимбеков Мирлан Кадыралиевич,570152.0,570 152,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608302009196.xlsx,2015,Военный суд КР,Заместитель председателя,Кожомбердиев Бакыт Кожомбердиевич,830896.0,669205,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",161691,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608301733396.xlsx,2015,Верховный суд КР,Судья,Боронбаева Дильфуза Салимовна,1113925.0,768145,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль (50%),"Лексус, 2004 г.в, V-3,3","","","","","","","","",345780,"","","","","","","","","",дом,310,дом,189,гараж,20,земельный участок,"0,065 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608101553094.xlsx,2015,Свердловский районный суд г.Бишкек,Судья,Саадабаева Гульзат Аскербековна,203274.0,203274,"","","","","","",квартира,45.4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,не указаны,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201607191747050.xlsx,2015,Государственная служба по борьбе с экономическими преступлениями при Правительстве         Кыргызской Республики,Экс-заместитель председателя,Муратбеков Женишбек Алимбекович,398782.0,398782,"","","","","","",дом,302,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Мерседес-350, 2004 г.в, V-3,5, №033825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота, 2004 г.в, V-2, №0199171","","","","","","","","","","","","","","","","","",""
files/2017090716301613.xlsx,2016,Муниципальная администрация мэрии гор.Бишкек по Свердловскому району,Руководитель аппарата,Байсов Чынгыз Таштанбекович,551455.0,447 639 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",103 816 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016071821273811.xlsx,2015,Министерство внутренних дел Кыргызской Республики,Первый заместитель министра,Касымбаев Нурбай Адиевич,1135120.4,"861 368,4 сом ","","","","","","",дом (50%),186.24,дом,235.3,дом,195.99,земельный участок (50%),186.24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда-2004, 2V, SHCPO88604Y236093","","","","","","","","",273 752 сом,"","","","","","","","","",дом (50%),186.24,земельный участок (50%),186.24,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608111542538.xlsx,2015,Московский районный суд,Судья,Аджибеков Нурлан Нурмамбетович,763681.0,763681,"","","","","","",дом,110,земльный участок,-,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Камри, 2005 г.в","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"ВАЗ 21099,       1999 г.в","","","","","","","","","","","","","","","","","",""
files/2016081217193015.xlsx,2015,Сокулукский районный суд,Судья,Кузьменко Сергей Иванович,922587.0,406587,"","","","","","",дом,80,квартира,70,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Фольксваген Пассат,автомобиль,Ниссан Ихстрейлер,"","","","","","",516000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Мазда Примаси,"","","","","","","","","","","","","","","","","",""
files/201709131640517.xlsx,2016,Аппарат Президента КР,Постоянный представитель Президента КР в Конст.палате Верховного суда КР,Касымбеков Нурбек Айтыевич,791169.2,"791 169,2 с.-по месту основной работы ","","","","","","",дом,120,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608152031494.xlsx,2015,Таласский областной суд,Заместитель председателя,Калиева Клара Джакшылыковна,1090565.0,1090565,"","","","","","",квартира,50,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016111515480415.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Начальник УГНС по г.Сулюкта,Жусупов Бекажы Ташбаевич,349712.0,349 712,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"ВАЗ 21063, 1986г.вып., V=1300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016081516240611.xlsx,2015,Иссык-Кульский областной суд,Судья,Асаналиев Жолдош Асанакунович,2844270.0,700350,"","","","","","",земельный участок,1500,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223 920 (ч/п),         1 920 000 (от продажи дома)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201708222156209.xlsx,2016,Государственная администрация Жайылского района Чуйской области,Экс-руководитель аппарата,Оторбаев Бектурган Сейтбекович,60000.0,60 000 с.-по месту основной работы ,"","","","","","",дом,"62,1",земельный участок,"9,18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Жигули,автомобиль,Фольксваген Пассат,автомобиль,Хонда CRV,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017090820385111.xlsx,2016,Гор. кенеш г.Баткен,Экс-председатель,Рахматов Эркин Аширович,0.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201709071656094.xlsx,2016,Мэрия гор.Кара-Балта,Вице-мэр,Орозбаков Эмиль Кемелбекович,150510.0,78 510 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",72 000 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201607192137549.xlsx,2015,Государственная служба исполнения наказаний при Правительстве Кыргызской Республики,Председатель,Мамыркулов Алик Бейшенович,1373660.0,285 950 - з/пл,533 000 - пенсия,72 000 - пособие,"","","","",квартира,38,квартира,63,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Лексус 470, V-4684","","","","","","","","",482 710,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Камри, 2013г вып., V-2494","","","","","","","","","","","","","","","","","",""
files/201611141934536.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Начальник Управления,Асылкулов Искендер Эсенгельдиевич,809534.0,"410 762 (з/п),     240 014 (полученные в качестве дара)","","","","","","",дом,90.3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",158758,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017090821291112.xlsx,2016,Мэрия гор. Кызыл-Кия,Первый вице-мэр,Гапаров Адилжан Матаевич,5731670.0,341 542 с.по месту основной работы,200 000 с. продажа КРС,80 000 с. продажа МРС,4 000 000 с. продажа дома,1 000 000 с. продажа автомобиля ,"","",часть дома,60,дом,160,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Тойота Лексус,"","","","","","","","",110 128 с.по месту основной работы,"","","","","","","","","",часть дома,60,часть дома,60,квартира,95,земельный участок,20 0000,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",грузовой автомобиль,"Хундай-портер, 1997 г.в., V=2,6, АВ 684893","","","","","","","","","","","","","","","","","",""
files/2016111420441413.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Начальник УГНС по Нарынскому району Нарынской обл,Мусабеков Бактияр Абдыбакасович,784244.0,478899,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",305345,"","","","","",600000,"","","",квартира,61.23,земельный участок с недостроенным магазином,33.26,земельный участок ,136.74,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда CRV,      2005 г.в, V-2400","","","","","","","","","","","","","","","","","",""
files/201708251751401.xlsx,2016,Государственная администрация Джумгальского района Нарынской области,Руководитель аппарата,Орозобаева Айжан Жумашовна,978576.0,308 576 с.-по месту основной работы,670 000 с.-от продажи дома,"","","",737 000 с.,"",дом,"58,19",квартира,"40,29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201611142003308.xlsx,2015,Государственная налоговая служба при Правительстве Кыргызской Республики,Заместитель начальника,Алмурокова Токтожан Тологовна,373466.0,"302 120 (з/п),       71 346 (др источники)","","","","","","",контейнер,-,контейнер,-,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608102014418.xlsx,2015,Первомайский районный суд г.Бишкек,Судья,Эрнис уулу Айбек ,1086223.0,"382 818 (з/п, пенсия),     510 000 (от реализации скота)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Lexus LX470, 2003 г.в, V-4664","","","","","","","","",193405,"","","","","","","","","",квартира,80,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Toyota Avensis, 2004 г.в, V-1998","","","","","","","","","","","","","","","","","",""
files/2016111421545612.xlsx,2015,Государственная служба по борьбе с экономической преступностью при Правительстве Кыргызской Республики (Финполиция),Экс-начальник отдела,Дуйсенов Эржан Эркинович,819071.0,372 462 - по месту основной работы,44 822 - выплата по решению суда,"","","","","",квартира,"62,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",401 787,"","","","","","","","","",квартира,"59,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"МВ-180, 1993г.вып., V=1799 ","","","","","","","","","","","","","","","","","",""
