File,Year,Workplace,Position,FullName,TotalIncome,Income1,Income2,Income3,Income4,Income5,Outcome1,Outcome2,RealEstateType1,RealEstateArea1,RealEstateType2,RealEstateArea2,RealEstateType3,RealEstateArea3,RealEstateType4,RealEstateArea4,RealEstateType5,RealEstateArea5,RealEstateType6,RealEstateArea6,RealEstateType7,RealEstateArea7,RealEstateType8,RealEstateArea8,RealEstateType9,RealEstateArea9,RealEstateType10,RealEstateArea10,RealEstateType11,RealEstateArea11,RealEstateType12,RealEstateArea12,RealEstateType13,RealEstateArea13,RealEstateType14,RealEstateArea14,RealEstateType15,RealEstateArea15,RealEstateType16,RealEstateArea16,RealEstateType17,RealEstateArea17,RealEstateType18,RealEstateArea18,RealEstateType19,RealEstateArea19,RealEstateType20,RealEstateArea20,RealEstateType21,RealEstateArea21,RealEstateType22,RealEstateArea22,RealEstateType23,RealEstateArea23,RealEstateType24,RealEstateArea24,RealEstateType25,RealEstateArea25,RealEstateType26,RealEstateArea26,RealEstateType27,RealEstateArea27,RealEstateType28,RealEstateArea28,RealEstateType29,RealEstateArea29,RealEstateType30,RealEstateArea30,RealEstateType31,RealEstateArea31,PropertyType1,PropertyDescription1,PropertyType2,PropertyDescription2,PropertyType3,PropertyDescription3,PropertyType4,PropertyDescription4,PropertyType5,PropertyDescription5,RelativeIncome1,RelativeIncome2,RelativeIncome3,RelativeIncome4,RelativeIncome5,RelativeIncome6,RelativeOutcome1,RelativeOutcome2,RelativeOutcome3,RelativeOutcome4,RelativeRealEstateType1,RelativeRealEstateArea1,RelativeRealEstateType2,RelativeRealEstateArea2,RelativeRealEstateType3,RelativeRealEstateArea3,RelativeRealEstateType4,RelativeRealEstateArea4,RelativeRealEstateType5,RelativeRealEstateArea5,RelativeRealEstateType6,RelativeRealEstateArea6,RelativeRealEstateType7,RelativeRealEstateArea7,RelativeRealEstateType8,RelativeRealEstateArea8,RelativeRealEstateType9,RelativeRealEstateArea9,RelativeRealEstateType10,RelativeRealEstateArea10,RelativeRealEstateType11,RelativeRealEstateArea11,RelativeRealEstateType12,RelativeRealEstateArea12,RelativeRealEstateType13,RelativeRealEstateArea13,RelativeRealEstateType14,RelativeRealEstateArea14,RelativeRealEstateType15,RelativeRealEstateArea15,RelativeRealEstateType16,RelativeRealEstateArea16,RelativeRealEstateType17,RelativeRealEstateArea17,RelativeRealEstateType18,RelativeRealEstateArea18,RelativeRealEstateType19,RelativeRealEstateArea19,RelativeRealEstateType20,RelativeRealEstateArea20,RelativeRealEstateType21,RelativeRealEstateArea21,RelativeRealEstateType22,RelativeRealEstateArea22,RelativeRealEstateType23,RelativeRealEstateArea23,RelativeRealEstateType24,RelativeRealEstateArea24,RelativeRealEstateType25,RelativeRealEstateArea25,RelativeRealEstateType26,RelativeRealEstateArea26,RelativeRealEstateType27,RelativeRealEstateArea27,RelativeRealEstateType28,RelativeRealEstateArea28,RelativeRealEstateType29,RelativeRealEstateArea29,RelativeRealEstateType30,RelativeRealEstateArea30,RelativeRealEstateType31,RelativeRealEstateArea31,RelativeRealEstateType32,RelativeRealEstateArea32,RelativePropertyType1,RelativePropertyDescription1,RelativePropertyType2,RelativePropertyDescription2,RelativePropertyType3,RelativePropertyDescription3,RelativePropertyType4,RelativePropertyDescription4,RelativePropertyType5,RelativePropertyDescription5,RelativePropertyType6,RelativePropertyDescription6,RelativePropertyType7,RelativePropertyDescription7,RelativePropertyType8,RelativePropertyDescription8,RelativePropertyType9,RelativePropertyDescription9,RelativePropertyType10,RelativePropertyDescription10
files/201608091531369.xlsx,2015,Министерство иностранных дел,Экс-Чрезвычайный и Полномочный Посол КР в Украине,Чиналиев Улукбек Кожомжарович,1936830.0,1495970,"","","","","","",квартира,192,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Ленд крузер, 2008г, v=4,7","","","","","","","","",440860,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота РАВ 4, 2008г.","","","","","","","","","","","","","","","","","",""
files/201709082032489.xlsx,2016,Мэрия гор.  Айдаркен,Руководитель аппарата,Жакыпова Улпат Таабалдыевна,247200.0,175 200 с.-по месту основной работы,72 000 с.-пенсия,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",дом,85,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201709191529451.xlsx,2016,Аппарат Правительства Кыргызской Республики,Эксперт,Джумалиев Кубат Сеитбекович,606416.0,598 016 с.-по месту основной работы,8 400 с.-от педагогической деятельности,"","","","","",квартира,"62,9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Лексус GX 470, 2005г., V=4664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016092617011615.xlsx,2015,Аппарат Правительства Кыргызской Республики,Главный эксперт,Скобеев Егор Леонидович,2328382.0,"759 982 (з/п),     230 000 (от продажи животных и птиц) ","","","","","","",дом,72.3,часть дома,65.9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Мерседес Бенц    Е-500, 2002 г.в,       V-4960",автомобиль,"Ниссан Марч,   2003 г.в, V-1380","","","","","","","320 000 (от гр-прав сделок),      38 400 (з/п),       980 000 (от предпринимательской деят)","","","","","","","","","",квартира,65.27,квартира,49.12,земельная доля,"5,08 га",административное здание (разрушено),318.57,земельная доля,"4,90 га",земельная доля,"0,98 га",телятник,626.75,земельная доля,"2,0 га",квартира,46.31,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Фольцваген Tyaper, 2007 г.в,  V-5998","","","","","","","","","","","","","","","","","",""
files/2016083017581412.xlsx,2015,Конституционная палата ВС КР,Судья,Нарынбекова Айсалкын Омуралиевна,1192999.0,1030999,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",162000,"","","","","","","","","",земельный участок,"0,5 га","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль (50%),"Lexus-300,       2003 г.в","","","","","","","","","","","","","","","","","",""
files/201609261609023.xlsx,2015,Аппарат Правительства Кыргызской Республики,Инспектор,Джантаев Азисбек Темирбекович,757232.0,567 232,"","","","","","",квартира,"36,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",190 000,"","","","","","","","","",дом,38,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017072015572413.xlsx,2016,Жогорку Кенеш Кыргызской Республики,Депутат,Эргешов Алмазбек Манасбекович,994592.0,"994 592 с.-по месту основной работы, и предыдущей работы в ТОО","","","","","","",квартира,145,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Лексус LS 460, 2008 г.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017091318040911.xlsx,2016,Аппарат Президента Кыргызской Республики,Заместитель заведующего отделом,Сыдыков Джумакун Сыдыкович,1008852.0,846 180 с.-по месту основной работы,144 600 с.- пенсия,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18 072 с.-пенсия,"","","","","","","","","",квартира,"61,3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201609261608535.xlsx,2015,Аппарат Правительства Кыргызской Республики,Заведующий отделом,Джаманкулов Марат Тургунбаевич,1232260.0,783 486-по месту основной работы,92 643 -пенсия,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Хайландер, 2003 г.вып., V=3","","","","","","","","",356 131,"","","","","","","","","",квартира,30,квартира,58,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608102158590.xlsx,2015,Чуйский областной суд,Судья,Кадыркулова Алма Камчыбековна,855346.0,585552,"","","","","","",дом,189,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Камри, 2004 г.в","","","","","","","","",269794,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"БМВ 528, 1996 г.в",автомобиль,"Хонда Стрим, 2003 г.в",автомобиль,"Тойота Превиа, 2004 г.в","","","","","","","","","","","","","",""
files/201607182210458.xlsx,2015,Министерство сельского хозяйства и мелиорации Кыргызской Республики,Директор Кыргызагробиоцентр,Туманов Жаныбай,356203.0,309 203 сом,"","","","","","",дом,-,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",47 000 сом,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608302008563.xlsx,2015,Военный суд Ошского гарнизона,Судья,Кабылбеков Таалайбек Мейманжанович,503375.0,503375,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201608151633197.xlsx,2015,Каракольский городской суд,Председатель,Сулайманов Кадырбек Култашырович,677591.0,677591,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,Ауди А6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201709072059120.xlsx,2016,Мэрия гор. Каинда,Руководитель аппарата,Курманалиева Динара Усенмамытовна,351000.0,208 000 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",143 000 с.-по месту основной работы,"","","","","","","","","",квартира,"60,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201709131619486.xlsx,2016,Аппарат Президента КР,Эксперт,Акимова Нургуль Мамасадыковна,534587.69,"534 587,69 с.-по месту основной работы","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016081022001315.xlsx,2015,Чуйский областной суд,Судья,Садырбеков Улан Маданбекович,6786125.0,"608 658 (з/п),       112 467 (пенсия)","","","","","","",квартира,63.2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,-,"","","","","","","","",6 065 000 (от продажи квартир),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Тойота Авалон, 2005 г.в, V-3,5.",автомобиль,"Митсубиси Каризма, 2004 г.в, V-1,8","","","","","","","","","","","","","","","",""
files/201708251832514.xlsx,2016,Государственная администрация Таласского района Таласской области,Заместитель главы,Баялиева Зина Кадыркуловна,374760.0,374 760 с.-по месту основной работы,"","","","","","",дом,79,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автомобиль,"Хонда Фит, 2003г., V=1330","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2016071921280811.xlsx,2015,Генеральный штаб Вооруженных сил Кыргызской Республики,Заместитель начальника,Орозматов Кубанычбек Апазович,734627.0,621 987,"","","","",630 000 ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",автотранспортное средство,"Тойота Секвойя, 2005г вып., V-4664","","","","","","","","",90 640 - з/пл,22 000 - доходы получ.от гражд.-прав.сделок,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201707180057594.xlsx,2016,Жогорку Кенеш Кыргызской Республики,Депутат,Алтыбаева Айнуру Тойчиевна,1968586.0,945 120 с.-по месту основной работы ,74 120 с.- пенсия,"","","","","",дом,170,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",483 621 с. - по месту основной работы ,465 725 с. - от совмещения должностей,"","","","","","","","",дом,80,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль ,"Тойота Раннер, 2007г., V=3955 Б","","","","","","","","","","","","","","","","","",""
files/201708241748472.xlsx,2016,Государственная администрация Иссык-Кульского района Иссык-Кульской области,Руководитель аппарата,Абылгазиев Тумарбек Бейшекеевич,233619.0,233 619 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/2017091316185311.xlsx,2016,Аппарат Президента КР,Эксперт,Абилова Миргул Талантбековна,772485.45,"619 271,45 с.-по месту основной работы","","","","","","",квартира,"57,2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",153 214 с.-по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201707181726403.xlsx,2016,Жогорку Кенеш Кыргызской Республики,Депутат,Нишанов Нургазы Нурланович,665139.0,665 139 с. -по месту основной работы,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
files/201607072255509.xlsx,2015,Жогорку Кенеш Кыргызской Республики,Депутат,Турсунбаев Азизбек Атакозуевич,73468.43,"73 468,43 сомов","","","","",400 000 сомов,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль,"Тойота Прадо, 2008г., V=4м³","","","","","","","","","","","","","","",1 500 000 сомов,"","","",квартира,62.8,квартира,271.8,дом,327.3,дачный дом,682,земельный участок,800,дом,184.29,земельный участок,6123.51,земельный участок,19419,жилое помещение,79.5,жилое помещение,79.5,жилое помещение,39.5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",лег/автомобиль,"Тойота Ленд Крузер, 2013г., V=4м³","","","","","","","","","","","","","","","","","",""
files/2016091921062813.xlsx,2015,Аппарат Президента Кыргызской Республики,Эксперт,Субакожоева Айзада Муратбековна,952406.0,575 282,"","","","","","",квартира,45,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",377 124,"","","","","","","","","",квартира,"51,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
